,Event,dist(km),OC,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
M50kmWalk,50kmWalk,0,12929,0.6496,0.6869,0.722,0.7549,0.7856,0.8141,0.8404,0.8645,0.8864,0.9061,0.9236,0.9389,0.952,0.964,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9997,0.9989,0.9976,0.9958,0.9934,0.9904,0.987,0.983,0.9785,0.9735,0.9679,0.9618,0.9552,0.9483,0.9414,0.9345,0.9276,0.9207,0.9138,0.9069,0.9,0.8931,0.8862,0.8793,0.8724,0.8655,0.8586,0.8516,0.8443,0.8367,0.8288,0.8206,0.8122,0.8034,0.7943,0.785,0.7753,0.7654,0.7551,0.7446,0.7338,0.7226,0.7112,0.6995,0.6875,0.6751,0.6625,0.6496,0.6364,0.6229,0.6091,0.595,0.5806,0.566,0.551,0.5357,0.5201,0.5043,0.4881,0.4716,0.4549,0.4378,0.4205,0.4028,0.3849,0.3666,0.3481
MHighJump,HighJump,0,2.45,0,0,0,1.956,1.6554,1.4671,1.3316,1.2377,1.1666,1.1182,1.08,1.0515,1.0303,1.0147,1.0035,1,1,1,1,1,1,1,1,1,1,1.0079,1.0169,1.0261,1.0354,1.0449,1.0546,1.0645,1.0745,1.0848,1.0952,1.1059,1.1168,1.1278,1.1391,1.1506,1.1624,1.1744,1.1867,1.1992,1.2119,1.225,1.2383,1.252,1.2659,1.2801,1.2947,1.3096,1.3248,1.3405,1.3564,1.3728,1.3896,1.4068,1.4244,1.4425,1.461,1.48,1.4995,1.5196,1.5402,1.5613,1.583,1.6054,1.6283,1.652,1.6763,1.7014,1.7272,1.7539,1.7813,1.8097,1.8389,1.8691,1.9003,1.9326,1.966,2.0099,2.0559,2.104,2.1543,2.2072,2.2854,2.3694,2.4598,2.5574,2.663,2.7968,2.9447,3.1091,3.293,3.5
MPoleVault,PoleVault,0,6.14,0,0,0,0,0,0,0,1.4619,1.3323,1.2403,1.1732,1.1234,1.0863,1.0586,1.038,1.0149,1.0033,1,1,1,1,1,1,1,1,1,1.0076,1.0152,1.023,1.031,1.039,1.0515,1.0643,1.0774,1.0908,1.1046,1.1187,1.1332,1.1481,1.1634,1.1791,1.1952,1.2118,1.2288,1.2463,1.2643,1.2828,1.3019,1.3216,1.3419,1.3628,1.3844,1.4067,1.4297,1.4534,1.478,1.5034,1.5297,1.5569,1.5851,1.6144,1.6448,1.6763,1.7091,1.7431,1.7786,1.8155,1.854,1.8942,1.9362,1.98,2.0259,2.0739,2.1243,2.1771,2.2327,2.2912,2.3529,2.4179,2.4867,2.5595,2.6476,2.7419,2.8432,2.9522,3.07,3.2316,3.4111,3.6117,3.8375,4.0933,4.3857,4.7231,5.1166,5.5818,6.14
MLongJump,LongJump,0,8.95,0,0,0,2.199,1.8568,1.6332,1.4745,1.3575,1.2701,1.203,1.1506,1.1095,1.0772,1.0517,1.0318,1.0113,1,1,1,1,1,1,1,1,1,1,1.0098,1.0198,1.03,1.0404,1.051,1.0625,1.0743,1.0863,1.0986,1.1112,1.1241,1.1373,1.1507,1.1646,1.1787,1.1932,1.208,1.2233,1.2389,1.2549,1.2713,1.2882,1.3056,1.3234,1.3417,1.3605,1.3799,1.3998,1.4203,1.4414,1.4631,1.4855,1.5086,1.5324,1.557,1.5824,1.6087,1.6358,1.6639,1.6929,1.7229,1.7541,1.7863,1.8198,1.8546,1.8907,1.9283,1.9674,2.0082,2.0506,2.1051,2.1625,2.2232,2.2873,2.3553,2.467,2.5897,2.7253,2.876,3.0442,3.2664,3.5236,3.8248,4.1822,4.6134,5.2585,6.1134,7.3002,9.0587,11.9333
MTripleJump,TripleJump,0,18.29,0,0,0,0,0,0,0,0,1.2425,1.1799,1.1325,1.0965,1.0692,1.0484,1.0327,1.0218,1.0105,1,1,1,1,1,1,1,1,1,1.0025,1.005,1.0076,1.0101,1.0127,1.024,1.0357,1.0475,1.0597,1.0721,1.0848,1.0979,1.1112,1.1249,1.1389,1.1533,1.168,1.1831,1.1986,1.2145,1.2308,1.2476,1.2649,1.2827,1.3009,1.3198,1.3394,1.3594,1.3802,1.4015,1.4233,1.4458,1.469,1.493,1.5178,1.5434,1.5699,1.5974,1.6258,1.6552,1.6857,1.7174,1.7502,1.7844,1.8199,1.8569,1.8953,1.9355,1.9773,2.021,2.0667,2.1144,2.1645,2.2169,2.272,2.3569,2.4484,2.5473,2.6545,2.7712,2.9595,3.1753,3.4251,3.7174,4.0644,4.6897,5.5424,6.774,8.7095,12.1933
MHammer,Hammer,0,86.74,0,0,0,0,0,0,0,0,0,1.6978,1.4182,1.2608,1.1645,1.1027,1.0625,1.0326,1.0086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.015,1.0304,1.0464,1.0628,1.0798,1.0992,1.1194,1.1403,1.1621,1.1846,1.208,1.2324,1.2578,1.2843,1.1656,1.19,1.2156,1.2422,1.2701,1.2992,1.3297,1.3616,1.3952,1.4304,1.4058,1.4384,1.4725,1.5083,1.5458,1.5853,1.6268,1.6706,1.7168,1.7656,1.6112,1.6578,1.7072,1.7597,1.8155,1.8749,1.9384,2.0063,2.0791,2.1575,2.2417,2.333,2.432,2.5399,2.6577,2.787,2.9295,3.0874,3.2632,3.4604,3.6828,3.9358,4.2261,4.5627,4.9576,5.4272,5.9952,6.6959,7.5821,8.7387,10.3117
MShotput,Shotput,0,23.12,0,0,0,0,0,0,0,0,0,1.3528,1.271,1.2035,1.1468,1.0994,1.0596,1.0185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0053,1.0107,1.0161,1.0216,1.0271,1.0432,1.0599,1.077,1.0948,1.1131,1.136,1.1598,1.1846,1.2106,1.1468,1.1701,1.1944,1.2198,1.2462,1.2736,1.3025,1.3325,1.364,1.397,1.2703,1.3061,1.3439,1.3841,1.4266,1.4719,1.5202,1.5719,1.6271,1.6864,1.3017,1.3377,1.3758,1.4161,1.4589,1.5043,1.5526,1.604,1.659,1.718,1.7816,1.8498,1.9234,2.0032,2.0898,2.1843,2.2877,2.4014,2.527,2.6665,2.8222,2.9972,3.1954,3.4217,3.6824,3.9862,4.3446,4.7738,5.2972,5.9494,6.7847
MDiscus,Discus,0,74.08,0,0,0,0,0,0,0,0,0,1.4911,1.362,1.2681,1.1979,1.1448,1.1044,1.0583,1.0289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0096,1.0194,1.0293,1.0396,1.0499,1.0701,1.091,1.1128,1.1355,1,1.0183,1.0371,1.0568,1.0772,1.0984,1.126,1.1549,1.1854,1.2176,1.1232,1.1467,1.1712,1.1968,1.2235,1.2514,1.2806,1.3112,1.3432,1.377,1.4127,1.45,1.4893,1.5309,1.5748,1.6217,1.6711,1.7236,1.7795,1.8391,1.9033,1.9718,2.0454,2.1247,2.2105,2.3034,2.4045,2.5148,2.6357,2.7689,2.9162,3.0801,3.2636,3.4702,3.7049,3.9735,4.2841,4.6474,5.0781,5.5967,6.2333
MJavelin,Javelin,0,98.48,0,0,0,0,0,0,0,0,0,1.4743,1.3339,1.2316,1.1555,1.0982,1.0548,1.0258,1,1,1,1,1,1,1,1,1,1,1.0084,1.0169,1.0256,1.0344,1.0434,1.0594,1.0758,1.0928,1.1102,1.1283,1.147,1.1663,1.1862,1.2069,1.2283,1.2505,1.2735,1.2973,1.322,1.279,1.3025,1.3269,1.3522,1.3785,1.4059,1.4344,1.464,1.4949,1.5271,1.4804,1.5114,1.5437,1.5775,1.6128,1.6496,1.6881,1.7286,1.771,1.8155,1.7461,1.7932,1.8428,1.8953,1.9509,2.0098,2.0724,2.139,2.2101,2.286,2.0612,2.1526,2.2524,2.362,2.4827,2.6164,2.7654,2.9324,3.1208,3.3352,3.5811,3.8662,4.2006,4.5983,5.0792,5.6724,6.4226,7.4014,8.7322,10.6465,13.6357
MWeight,Weight,0,25.86,0,0,0,0,0,0,0,0,,1.3107,1.2181,1.1534,1.1075,1.0744,1.0508,1.0262,1.0102,1,1,1,1,1,1,1,1,1,1.0049,1.0099,1.015,1.0201,1.0252,1.0383,1.0518,1.0656,1.0797,1.0943,1.1093,1.1246,1.1404,1.1567,1.1734,1.1906,1.2082,1.2264,1.2452,1.1123,1.1306,1.1496,1.1692,1.1895,1.2105,1.2324,1.255,1.2785,1.3029,1.1392,1.1617,1.1852,1.2096,1.235,1.2615,1.2892,1.3181,1.3483,1.3799,1.2943,1.3266,1.3605,1.3962,1.4338,1.4735,1.5155,1.5599,1.607,1.6571,1.573,1.6238,1.678,1.736,1.7981,1.8648,1.9366,2.0143,2.0983,2.1898,2.2895,2.3988,2.519,2.6519,2.7996,2.9647,3.1505,3.3612,3.6022,3.8803,4.2049
